policy_year,cap,training_path_count,condition_number,reachable_component_clip_fraction,fit_action_retained,fit_reasons,selected_policy_class,uses_all_paths,oos
16,0.15,198,47.76137653358281,0.04119047619047619,True,[],base_csm,True,False
16,0.16,195,28.745851846273702,0.01880952380952381,True,[],base_csm,True,False
16,0.17,202,62.26215452955009,0.02261904761904762,True,[],base_csm,True,False
16,0.18,200,46.32602337247715,0.01904761904761905,True,[],base_csm,True,False
16,0.19,186,15.997564823707146,0.029285714285714286,True,[],base_csm,True,False
16,0.2,200,43.10561876952394,0.013571428571428571,True,[],base_csm,True,False
17,0.0025,199,11.090810903459575,0.03214285714285714,True,[],base_csm,True,False
17,0.01,223,15.145843467719446,0.03428571428571429,True,[],base_csm,True,False
17,0.02,188,10.489806397884312,0.047142857142857146,True,[],base_csm,True,False
17,0.03,204,13.570504990444684,0.05095238095238095,True,[],base_csm,True,False
17,0.04,200,12.439700887053425,0.05,True,[],base_csm,True,False
17,0.05,206,12.423376861961225,0.0419047619047619,True,[],base_csm,True,False
17,0.06,199,32.39613055123688,0.05142857142857143,True,[],base_csm,True,False
17,0.07,199,24.69703128354533,0.047619047619047616,True,[],base_csm,True,False
17,0.08,188,33.08199350851494,0.028333333333333332,True,[],base_csm,True,False
17,0.09,197,43.804744882774685,0.047619047619047616,True,[],base_csm,True,False
17,0.1,202,32.17788362995891,0.04619047619047619,True,[],base_csm,True,False
17,0.11,199,48.481765842645906,0.04642857142857143,True,[],base_csm,True,False
17,0.12,201,72.71312409844224,0.05380952380952381,True,[],base_csm,True,False
17,0.13,195,24.82640133545282,0.06476190476190476,True,[],base_csm,True,False
17,0.14,190,78.10625013214957,0.05,True,[],base_csm,True,False
17,0.15,201,42.88739317709452,0.062142857142857146,True,[],base_csm,True,False
17,0.16,208,48.52995249804169,0.05380952380952381,True,[],base_csm,True,False
17,0.17,203,69.66303320676124,0.043333333333333335,True,[],base_csm,True,False
17,0.18,205,83.87074788052334,0.06357142857142857,True,[],base_csm,True,False
17,0.19,190,20.04266046040149,0.012619047619047618,True,[],base_csm,True,False
17,0.2,203,27.57081370951643,0.02761904761904762,True,[],base_csm,True,False
18,0.0025,190,17.30528370169848,0.06714285714285714,True,[],base_csm,True,False
18,0.01,199,12.921595585346028,0.06547619047619048,True,[],base_csm,True,False
18,0.02,199,11.582397437851595,0.07404761904761904,True,[],base_csm,True,False
18,0.03,201,11.164493262660178,0.07642857142857143,True,[],base_csm,True,False
18,0.04,209,32.719683468267206,0.1030952380952381,True,[],base_csm,True,False
